sample_id,region,species,housing_unit,sex,cranial_mod,bone,d13C_col,d15N_col,d13C_carb,d18O_carb,tooth,Sr_87_86,cn_ratio,Sr_ppm,,,,,,,,,,,,,,,,
PIT8,Mexico,Homo sapien,F2,Male,yes,long bone,-8.8,11.4,-2.7,-7.4,M1,0.70430,3.35,556,,,,,,,,,,,,,,,,
PIT9,Mexico,Homo sapien,F2,Male,no,humerus,-7.7,9.9,-2.4,-6.8,M1,0.70456,3.28,222,,,,,,,,,,,,,,,,
PIT15,Mexico,Homo sapien,F2,Female,no,long bone,-8.1,8.5,-4.2,-8.8,M1,0.70494,3.23,270,,,,,,,,,,,,,,,,
PIT16,Mexico,Homo sapien,F2,Female,no,tibia,-7.3,10.3,-3.0,-7.6,M1,0.70478,3.31,225,,,,,,,,,,,,,,,,
PIT19,Mexico,Homo sapien,F2,Male,no,tibia,-7.7,8.9,-3.3,-9.5,M1,0.70674,3.23,170,,,,,,,,,,,,,,,,
PIT21,Mexico,Homo sapien,F2,Male,no,femur,-7.6,9.9,-3.3,-9.6,M1,0.70709,3.32,56,,,,,,,,,,,,,,,,
PIT31,Mexico,Homo sapien,F2,Female,no,long bone,-8.5,10.0,-3.2,-7.8,M1,0.70463,3.29,165,,,,,,,,,,,,,,,,
PIT34,Mexico,Homo sapien,F2,Male,no,long bone,-8.9,7.7,-5.1,-6.5,M1,0.70482,3.29,240,,,,,,,,,,,,,,,,
PIT35,Mexico,Homo sapien,F2,Male,no,femur,-9.2,7.1,-4.1,-7.0,M1,0.70465,3.18,227,,,,,,,,,,,,,,,,
PIT37,Mexico,Homo sapien,F2,Male,yes,tibia,-7.4,7.8,-2.6,-6.8,M1,0.70485,3.27,166,,,,,,,,,,,,,,,,
PIT47,Mexico,Homo sapien,F2,Male,no,long bone,-8.4,8.5,-4.1,-8.4,M1,0.70601,3.19,163,,,,,,,,,,,,,,,,
PIT53,Mexico,Homo sapien,F2,Male,yes,long bone,-8.2,8.4,-4.3,-8.1,M1,0.70511,3.26,323,,,,,,,,,,,,,,,,
PIT70,Mexico,Homo sapien,F2,Male,no,long bone,-7.7,8.8,-4.1,-8.2,M1,0.70462,3.22,195,,,,,,,,,,,,,,,,
PIT75,Mexico,Homo sapien,F2,Female,no,tibia,-7.0,10.1,-2.0,-9.2,M1,0.70477,3.22,230,,,,,,,,,,,,,,,,
PIT77,Mexico,Homo sapien,F2,Male,no,femur,-7.0,10.1,-2.0,-5.1,M1,0.70458,3.22,221,,,,,,,,,,,,,,,,
PIT86,Mexico,Homo sapien,F2,Male,no,long bone,-9.1,8.0,-3.9,-9.5,M1,0.70529,3.35,116,,,,,,,,,,,,,,,,
PIT93,Mexico,Homo sapien,F2,Male,yes,long bone,-7.8,9.0,-3.3,-6.6,M1,0.70592,3.27,201,,,,,,,,,,,,,,,,
PIT111,Mexico,Homo sapien,F2,Female,no,femur,-8.1,8.2,-4.2,-8.1,M1,0.70494,3.25,265,,,,,,,,,,,,,,,,
PIT148,Mexico,Homo sapien,F2,Female,no,femur,-7.0,11.4,-1.7,-10.4,M1,0.70469,3.28,253,,,,,,,,,,,,,,,,
PIT161,Mexico,Homo sapien,F2,Male,no,long bone,-9.7,6.6,-2.4,-9.8,M1,0.70505,3.24,98,,,,,,,,,,,,,,,,
PIT29,Mexico,Homo sapien,F3,Female,no,femur,-8.1,10.3,-3.1,-9.9,M1,0.70498,3.28,296,,,,,,,,,,,,,,,,
PIT30,Mexico,Homo sapien,F3,Male,no,femur,-9.4,9.8,-2.9,-7.2,M1,0.70511,3.32,217,,,,,,,,,,,,,,,,
PIT38,Mexico,Homo sapien,F3,Male,no,femur,-7.7,10.3,-1.9,-8.1,M1,0.70460,3.22,309,,,,,,,,,,,,,,,,
PIT44,Mexico,Homo sapien,F3,Male,no,tibia,-7.4,12.0,-2.5,-8.5,M1,0.70468,3.20,371,,,,,,,,,,,,,,,,
PIT45,Mexico,Homo sapien,F3,Male,no,femur,-7.7,9.8,-2.6,-7.9,M1,0.70470,3.18,156,,,,,,,,,,,,,,,,
PIT48,Mexico,Homo sapien,F3,Female,no,humerus,-6.9,10.5,-2.6,-9.9,M1,0.70489,3.21,134,,,,,,,,,,,,,,,,
PIT51,Mexico,Homo sapien,F3,Male,no,femur,-8.8,10.3,-3.4,-9.5,M1,0.70636,3.18,225,,,,,,,,,,,,,,,,
PIT54,Mexico,Homo sapien,F3,Female,no,tibia,-7.9,9.7,-2.4,-8.6,M1,0.70489,3.17,395,,,,,,,,,,,,,,,,
PIT58,Mexico,Homo sapien,F3,Female,no,tibia,-7.5,9.7,-2.7,-8.8,M1,0.70502,3.20,179,,,,,,,,,,,,,,,,
PIT68,Mexico,Homo sapien,F3,Female,no,humerus,-8.4,10.8,-2.8,-7.5,M1,0.70465,3.21,220,,,,,,,,,,,,,,,,
PIT79,Mexico,Homo sapien,F3,Male,no,long bone,-8.8,9.6,-2.4,-8.2,M1,0.70494,3.42,222,,,,,,,,,,,,,,,,
PIT80,Mexico,Homo sapien,F3,Female,no,tibia,-7.9,9.4,-2.3,-7.3,M1,0.70501,3.25,351,,,,,,,,,,,,,,,,
PIT83,Mexico,Homo sapien,F3,Male,no,long bone,-7.2,10.0,-2.7,-6.5,M1,0.70465,3.32,218,,,,,,,,,,,,,,,,
PIT88,Mexico,Homo sapien,F3,Female,no,femur,-8.6,9.4,-2.6,-7.1,M1,0.70658,3.21,99,,,,,,,,,,,,,,,,
PIT90,Mexico,Homo sapien,F3,Female,no,femur,-8.8,9.5,-2.8,-8.3,M1,0.70459,3.33,208,,,,,,,,,,,,,,,,
PIT99,Mexico,Homo sapien,F3,Male,no,tibia,-8.3,9.3,-2.8,-7.9,M1,0.70480,3.30,256,,,,,,,,,,,,,,,,
PIT100,Mexico,Homo sapien,F3,Female,yes,rib,-9.3,8.3,-2.9,-6.1,M1,0.70484,3.24,196,,,,,,,,,,,,,,,,
PIT103,Mexico,Homo sapien,F3,Male,no,long bone,-8.3,10.2,-3.6,-10.0,M1,0.70483,3.29,324,,,,,,,,,,,,,,,,
PIT120,Mexico,Homo sapien,F3,Male,no,rib,-8.7,9.1,-3.2,-6.9,M1,0.70479,3.28,142,,,,,,,,,,,,,,,,
PIT122,Mexico,Homo sapien,F3,Female,no,tibia,-8.5,9.1,-3.4,-9,M1,0.70559,3.26,213,,,,,,,,,,,,,,,,
PIT125,Mexico,Homo sapien,F3,Male,no,humerus,-7.4,9.9,-2.4,-7.8,M1,0.70503,3.30,193,,,,,,,,,,,,,,,,
PIT135,Mexico,Homo sapien,F3,Male,no,rib,-10.3,9.2,-4.8,-6.4,M1,0.70645,3.28,367,,,,,,,,,,,,,,,,
PIT136,Mexico,Homo sapien,F3,Male,no,femur,-8.7,8.2,-4.0,-9.0,M1,0.70523,3.28,206,,,,,,,,,,,,,,,,
PIT162,Mexico,Homo sapien,F3,Male,no,tibia,-8.5,9.7,-2.7,-7.6,M1,0.70454,3.31,131,,,,,,,,,,,,,,,,
PIT180,Mexico,Homo sapien,F3,Female,no,long bone,-8.4,9.6,-3.2,-7.7,M1,0.70478,3.32,119,,,,,,,,,,,,,,,,
PIT181,Mexico,Homo sapien,F3,Male,no,tibia,-8.5,10.6,-3.2,-10.6,M1,0.70495,3.32,194,,,,,,,,,,,,,,,,
PIT183,Mexico,Homo sapien,F3,Male,no,tibia,-8.5,9.1,-2.9,-8.9,M1,0.70489,3.27,116,,,,,,,,,,,,,,,,
PIT210,Mexico,Homo sapien,F3,Female,no,long bone,-8.4,9.5,-3.2,-7.2,M1,0.70552,3.21,93,,,,,,,,,,,,,,,,
PIT212,Mexico,Homo sapien,F3,Female,no,long bone,-8.3,9.3,-3.1,-7.4,M1,0.70543,3.22,149,,,,,,,,,,,,,,,,
PIT225,Mexico,Homo sapien,F3,Female,no,tibia,-8.2,9.4,-3.6,-9.9,M1,0.70472,3.38,176,,,,,,,,,,,,,,,,
PIT227,Mexico,Homo sapien,F3,Female,no,tibia,-9.0,9.2,-3.6,-9.3,M1,0.70496,3.28,121,,,,,,,,,,,,,,,,
PIT231,Mexico,Homo sapien,F3,Female,no,femur,-7.8,9.0,-2.4,-8.3,M1,0.70473,3.31,157,,,,,,,,,,,,,,,,
PIT236,Mexico,Homo sapien,F3,Female,no,tibia,-8.5,9.9,-3.8,-8.3,M1,0.70493,3.36,266,,,,,,,,,,,,,,,,
PIT247a,Mexico,Homo sapien,F3,Female,no,long bone,-8.1,9.6,-3.2,-8.3,M1,0.70481,3.30,188,,,,,,,,,,,,,,,,
PIT247b,Mexico,Homo sapien,F3,Male,no,long bone,-8.2,9.4,-2.6,-6.4,M1,0.70515,3.32,161,,,,,,,,,,,,,,,,
PIT247c,Mexico,Homo sapien,F3,Female,no,long bone,-7.7,9.3,-3.0,-6.1,M1,0.70573,3.35,143,,,,,,,,,,,,,,,,
PIT249,Mexico,Homo sapien,F3,Male,no,tibia,-7.6,8.4,-3.7,-7.6,M1,0.70455,3.28,246,,,,,,,,,,,,,,,,
PIT259,Mexico,Homo sapien,F3,Female,no,femur,-8.3,9.2,-2.9,-4.6,M1,0.70646,3.21,49,,,,,,,,,,,,,,,,
PIT271,Mexico,Homo sapien,F3,Male,no,long bone,-7.5,10.0,-3.2,-7.2,M1,0.70495,3.37,214,,,,,,,,,,,,,,,,
PIT272,Mexico,Homo sapien,F3,Female,no,femur,-6.4,12.2,-2.3,-7.7,M1,0.70414,3.36,272,,,,,,,,,,,,,,,,
PIT278,Mexico,Homo sapien,F3,Female,no,tibia,-7.2,9.1,-2.4,-9.3,M1,0.70487,3.31,124,,,,,,,,,,,,,,,,
PIT288,Mexico,Homo sapien,F3,Male,no,tibia,-8.5,8.3,-3.1,-7.8,M1,0.70477,3.35,184,,,,,,,,,,,,,,,,